session_id,query,intent,slot_annotation
22,老爸,phone_call.make_a_phone_call,<contact_name>老爸</contact_name>
22,江苏到江村村委会,navigation.navigation,<origin>江苏</origin>到<destination>江村村委会</destination>
23,池州市,navigation.navigation,<destination>池州市</destination>
23,池州市人民银行,navigation.navigation,<destination>池州市人民银行</destination>
23,我感冒了,OTHERS,我感冒了
23,取消,navigation.cancel_navigation,取消
24,来首我要飞得更高,music.play,来首<song>我要飞得更高</song>
24,来首西海情歌,music.play,来首<song>西海情歌</song>
24,来首从头再来,music.play,来首<song>从头再来</song>
25,黎平县绍兴动态,OTHERS,黎平县绍兴动态
25,平线绍兴东站,navigation.navigation,<destination>平线绍兴东站</destination>
25,打电话,phone_call.make_a_phone_call,打电话
26,点一首天王盖地虎,music.play,点一首<song>天王盖地虎</song>
26,点一首天王盖地虎,music.play,点一首<song>天王盖地虎</song>
26,点一首,music.play,点一首
27,我想听邓丽君的歌,music.play,我想听<singer>邓丽君</singer>的歌
27,阜新市的天气怎么样,OTHERS,阜新市的天气怎么样
27,取消,music.pause,取消
27,西安市长安区,navigation.navigation,<destination>西安市长安区</destination>
28,来首歌曲,music.play,来首歌曲
28,唱首水手,music.play,唱首<song>水手</song>
28,给我找到的十首歌,music.play,给我找到的十首歌
28,连接蓝牙,OTHERS,连接蓝牙
29,蓝牙打开,OTHERS,蓝牙打开
29,叮当，*,OTHERS,叮当，*
29,放一首歌,music.play,放一首歌
29,播歌,music.play,播歌
29,下一首,music.next,下一首
30,返回,OTHERS,返回
30,全程多少公里,OTHERS,全程多少公里
30,结束导航,navigation.cancel_navigation,结束导航
30,下一首,music.next,下一首
30,蓝牙音乐,OTHERS,蓝牙音乐
30,善良曲,music.play,<song>善良</song>曲
31,中医药大学,navigation.navigation,<destination>中医药大学</destination>
31,打电话,phone_call.make_a_phone_call,打电话
31,开通网上买一个然后让人家给你装就便宜了1000多,OTHERS,开通网上买一个然后让人家给你装就便宜了1000多
31,要和的路上放平这前面两个杯子给没就不够用了路上要很好走,OTHERS,要和的路上放平这前面两个杯子给没就不够用了路上要很好走
31,关掉它,OTHERS,关掉它
32,播放郑智化的游戏人间,music.play,播放<singer>郑智化</singer>的<song>游戏人间</song>
32,播放郑智化的歌曲,music.play,播放<singer>郑智化</singer>的歌曲
32,播放歌曲游戏人间,music.play,播放歌曲<song>游戏人间</song>
33,开车去白庙社区,navigation.navigation,开车去<destination>白庙社区</destination>
33,开车去白庙社区,navigation.navigation,开车去<destination>白庙社区</destination>
33,打电话给,phone_call.make_a_phone_call,打电话给
33,当前播放,OTHERS,当前播放
34,哦打电话给陈丽,phone_call.make_a_phone_call,哦打电话给<contact_name>陈丽</contact_name>
34,播放张学友的歌照相限速60公里,music.play,播放<singer>张学友</singer>的歌照相限速60公里
34,张学友歌曲,music.play,<singer>张学友</singer>歌曲
35,打电话,phone_call.make_a_phone_call,打电话
35,去老码头,navigation.navigation,去<destination>老码头</destination>
35,吾爱,OTHERS,吾爱
35,滚,OTHERS,滚
35,返回,navigation.cancel_navigation,返回
35,去老码头火锅,navigation.navigation,去<destination>老码头火锅</destination>
35,艳儿,OTHERS,艳儿
35,还,OTHERS,还
36,导航到连云港市赣榆县九龙街,navigation.navigation,导航到<destination>连云港市赣榆县九龙街</destination>
36,给张清芳打电话,phone_call.make_a_phone_call,给<contact_name>张清芳</contact_name>打电话
36,给张今风打电话,phone_call.make_a_phone_call,给<contact_name>张今风</contact_name>打电话
37,导航结束,navigation.cancel_navigation,导航结束
37,导航结束,navigation.cancel_navigation,导航结束
37,打电话,phone_call.make_a_phone_call,打电话
38,播放悟空,music.play,播放<song>悟空</song>
38,放悟空,music.play,放<song>悟空</song>
38,播放悟空,music.play,播放<song>悟空</song>
39,泰成玲珑郡16号楼,navigation.navigation,<destination>泰成玲珑郡16号楼</destination>
39,dj,music.play,<theme>dj</theme>
39,打电话给哥哥,phone_call.make_a_phone_call,打电话给<contact_name>哥哥</contact_name>
40,虽然十多年了吃什么干的要平常消消气打一天,OTHERS,虽然十多年了吃什么干的要平常消消气打一天
40,可乐,OTHERS,可乐
40,夕门是是七天啊,OTHERS,夕门是是七天啊
40,打电话给我吗,phone_call.make_a_phone_call,打电话给<contact_name>我吗</contact_name>
40,佳兆业中心,navigation.navigation,<destination>佳兆业中心</destination>
41,放一首社会摇,music.play,放一首<song>社会摇</song>
41,放一首歌,music.play,放一首歌
41,帮我换一首歌,music.next,帮我换一首歌
42,涞水县涞水西收费站,navigation.navigation,<destination>涞水县涞水西收费站</destination>
42,请设置导航,OTHERS,请设置导航
42,停止导航,navigation.cancel_navigation,停止导航
42,不需要了,OTHERS,不需要了
43,唱一首红高粱,music.play,唱一首<song>红高粱</song>
43,来一首九妹的主题曲,music.play,来一首<song>九妹</song>的主题曲
43,来一首红高粱,music.play,来一首<song>红高粱</song>
44,恋曲一九九零,music.play,<song>恋曲一九九零</song>
44,恋曲一九八零,music.play,<song>恋曲一九八零</song>
44,恋曲一九八零,music.play,<song>恋曲一九八零</song>
44,点曲一九八零,music.play,点曲<song>一九八零</song>
44,恋曲一九八零,music.play,<song>恋曲一九八零</song>
44,罗大佑的歌,music.play,<singer>罗大佑</singer>的歌
45,地心引力主题曲,music.play,地心引力主题曲
45,流星花园主题曲,music.play,流星花园主题曲
45,播放卡农,music.play,播放<song>卡农</song>
46,播放一首音乐,music.play,播放一首音乐
46,关闭音乐,music.pause,关闭音乐
46,哦哦行动你好,OTHERS,哦哦行动你好
46,给我放一首歌吧,music.play,给我放一首歌吧
47,播放张宇的歌曲,music.play,播放<singer>张宇</singer>的歌曲
47,谁是这个世界上最漂亮的女子,OTHERS,谁是这个世界上最漂亮的女子
47,谢谢,OTHERS,谢谢
47,家家,OTHERS,家家
47,取消,music.pause,取消
47,导航鑫苑鑫城,navigation.navigation,导航<destination>鑫苑鑫城</destination>
48,请播放语言老鼠嫁女,OTHERS,请播放语言老鼠嫁女
48,请播放语言老鼠夹,OTHERS,请播放语言老鼠夹
48,我支持,OTHERS,我支持
48,请播放小猪佩奇的歌曲,music.play,请播放小猪佩奇的歌曲
49,听一曲红日,music.play,听一曲<song>红日</song>
49,听一曲广东爱情故事,music.play,听一曲<song>广东爱情故事</song>
49,徐小凤,music.play,<singer>徐小凤</singer>
50,播放我的楼兰,music.play,播放<song>我的楼兰</song>
50,你好地方,OTHERS,你好地方
50,播一下我的楼兰播放我的楼兰,music.play,播一下<song>我的楼兰</song>播放<song>我的楼兰</song>
50,哦播放我的楼兰,music.play,哦播放<song>我的楼兰</song>
51,我要听歌吗,OTHERS,我要听歌吗
51,我要打电话,phone_call.make_a_phone_call,我要打电话
51,导航导到左旗,navigation.navigation,导航导到<destination>左旗</destination>
52,好了谢谢,OTHERS,好了谢谢
52,导航结束,navigation.cancel_navigation,导航结束
52,打电话,phone_call.make_a_phone_call,打电话
52,打电话给15600008713,phone_call.make_a_phone_call,打电话给<phone_num>15600008713</phone_num>
52,连接蓝牙播放音乐,OTHERS,连接蓝牙播放音乐
52,切换页面登录蓝牙音乐,OTHERS,切换页面登录蓝牙音乐
52,你是不是有毛病,OTHERS,你是不是有毛病
53,小乐你好,OTHERS,小乐你好
53,你傻吗,OTHERS,你傻吗
53,猫,OTHERS,猫
53,打电话给1320000838,phone_call.make_a_phone_call,打电话给<phone_num>1320000838</phone_num>
53,打电话给13200000838,phone_call.make_a_phone_call,打电话给<phone_num>13200000838</phone_num>
53,哈你妈,OTHERS,哈你妈
53,马化腾是谁,OTHERS,马化腾是谁
53,b,OTHERS,b
53,导航去火车站,navigation.navigation,导航去<destination>火车站</destination>
54,导航,navigation.open,导航
54,公司,navigation.navigation,<custom_destination>公司</custom_destination>
54,8277,OTHERS,8277
55,停止导航,navigation.cancel_navigation,停止导航
55,阿青,OTHERS,阿青
55,下一首,music.next,下一首
55,大兵,OTHERS,大兵
55,周帝,music.play,<singer>周帝</singer>
55,取消,music.pause,取消
56,拨电话,phone_call.make_a_phone_call,拨电话
56,涛哥,phone_call.make_a_phone_call,<contact_name>涛哥</contact_name>
56,女娲,OTHERS,女娲
56,没有,OTHERS,没有
56,我只听到放烟花,OTHERS,我只听到放烟花
56,艾丽,OTHERS,艾丽
56,呵呵回不去的那一步,OTHERS,呵呵回不去的那一步
56,大汪,OTHERS,大汪
56,思念,music.play,<song>思念</song>
56,伊莎,OTHERS,伊莎
57,播放萧敬腾的歌曲,music.play,播放<singer>萧敬腾</singer>的歌曲
57,播放歌曲,music.play,播放歌曲
57,拨打114,phone_call.make_a_phone_call,拨打<phone_num>114</phone_num>
57,拨打电话716922,phone_call.make_a_phone_call,拨打电话<phone_num>716922</phone_num>
57,往秦都,navigation.navigation,往<destination>秦都</destination>
58,大壮,music.play,<singer>大壮</singer>
58,蓝莲花,music.play,<song>蓝莲花</song>
58,停止放歌,music.pause,停止放歌
59,我要去保利大厦,navigation.navigation,我要去<destination>保利大厦</destination>
59,打电话给李晓峰,phone_call.make_a_phone_call,打电话给<contact_name>李晓峰</contact_name>
59,海口市椰海大道港昌物流园天成物流,navigation.navigation,<destination>海口市椰海大道港昌物流园天成物流</destination>
59,呵呵呵,OTHERS,呵呵呵
60,播放歌曲,music.play,播放歌曲
60,打电话,phone_call.make_a_phone_call,打电话
60,我要去骋望剑桥郡,navigation.navigation,我要去<destination>骋望剑桥郡</destination>
61,天气预报,OTHERS,天气预报
61,那块好吃的有好吃的,OTHERS,那块好吃的有好吃的
61,打电话给他妈,phone_call.make_a_phone_call,打电话给<contact_name>他妈</contact_name>
61,去高河况,navigation.navigation,去<destination>高河况</destination>
61,去长子,navigation.navigation,去<destination>长子</destination>
62,给租房子水果打电话,phone_call.make_a_phone_call,给<contact_name>租房子水果</contact_name>打电话
62,查找联系人,OTHERS,查找联系人
62,刘家豪在干嘛,OTHERS,刘家豪在干嘛
62,讲个笑话,OTHERS,讲个笑话
62,导航到广州,navigation.navigation,导航到<destination>广州</destination>
63,来一首刀山火海的歌曲,music.play,来一首<song>刀山火海</song>的歌曲
63,来一首龙梅子的歌曲,music.play,来一首<singer>龙梅子</singer>的歌曲
63,来一首刀山火海的歌曲,music.play,来一首<song>刀山火海</song>的歌曲
63,退出视频,OTHERS,退出视频
64,我要去人民医院体检楼,navigation.navigation,我要去<destination>人民医院体检楼</destination>
64,我要去人民医院健康中心,navigation.navigation,我要去<destination>人民医院健康中心</destination>
64,要不你来回跑,OTHERS,要不你来回跑
64,打电话,phone_call.make_a_phone_call,打电话
65,88688,OTHERS,88688
65,找小姐,OTHERS,找小姐
65,叫鸡,OTHERS,叫鸡
65,导航到肇庆火车站,navigation.navigation,导航到<destination>肇庆火车站</destination>
66,他没事,OTHERS,他没事
66,下一首,music.next,下一首
66,下一曲,music.next,下一曲
67,放首体验,music.play,放首<song>体验||体面</song>
67,请问地中海在哪里,navigation.navigation,请问<destination>地中海</destination>在哪里
67,放首体验,music.play,放首<song>体验||体面</song>
68,江南来一首,music.play,<song>江南</song>来一首
68,来一首儿歌来一首儿歌,music.play,来一首<age>儿歌</age>来一首<age>儿歌</age>
68,帮我来一首儿歌,music.play,帮我来一首<age>儿歌</age>
69,听音乐,music.play,听音乐
69,没有,OTHERS,没有
69,你好啊,OTHERS,你好啊
69,可以呀,OTHERS,可以呀
69,是的我是,OTHERS,是的我是
69,你是我的吗,OTHERS,你是我的吗
69,哦那你得为我服务啊,OTHERS,哦那你得为我服务啊
69,要为我服务,OTHERS,要为我服务
69,你会什么呀,OTHERS,你会什么呀
69,你吹牛的吧,OTHERS,你吹牛的吧
69,叮当,OTHERS,叮当
69,歌曲连播,music.play,歌曲连播
69,串烧,music.play,<style>串烧</style>
69,串烧乐曲,music.play,<style>串烧</style>乐曲
69,酒吧音乐,music.play,<scene>酒吧</scene>音乐
69,酒吧类型音乐,music.play,<scene>酒吧</scene>类型音乐
69,咖啡厅背景音乐,music.play,<scene>咖啡厅</scene>背景音乐
69,咖啡厅音乐,music.play,<scene>咖啡厅</scene>音乐
69,打电话给,phone_call.make_a_phone_call,打电话给
69,咖啡厅背景音乐,music.play,<scene>咖啡厅</scene>背景音乐
70,播放小跳蛙,music.play,播放<song>小跳蛙</song>
70,小跳蛙,music.play,<song>小跳蛙</song>
70,我想听小跳蛙,music.play,我想听<song>小跳蛙</song>
70,播放青蛙乐队的歌曲,music.play,播放<singer>青蛙乐队</singer>的歌曲
71,打电话给13500006888,phone_call.make_a_phone_call,打电话给<phone_num>13500006888</phone_num>
71,拨打的电话暂时无法接通执行,OTHERS,拨打的电话暂时无法接通执行
71,导航结束,navigation.cancel_navigation,导航结束
72,你好啊,OTHERS,你好啊
72,你好叮当,OTHERS,你好叮当
72,取消导航,navigation.cancel_navigation,取消导航
72,打电话给669,phone_call.make_a_phone_call,打电话给<phone_num>669</phone_num>
72,打电话给669,phone_call.make_a_phone_call,打电话给<phone_num>669</phone_num>
73,导航到广济医院,navigation.navigation,导航到<destination>广济医院</destination>
73,导航到广医一院,navigation.navigation,导航到<destination>广医一院</destination>
73,取消,navigation.cancel_navigation,取消
74,凝华,OTHERS,凝华
74,打电话,phone_call.make_a_phone_call,打电话
74,拉丁,OTHERS,拉丁
74,帮我来一首体面,music.play,帮我来一首<song>体面</song>
74,帮我导航到欢乐谷,navigation.navigation,帮我导航到<destination>欢乐谷</destination>
75,打电话都快十一了打电话你想出来吧,OTHERS,打电话都快十一了打电话你想出来吧
75,导航去景新花园,navigation.navigation,导航去<destination>景新花园</destination>
75,导航去西乡体育馆,navigation.navigation,导航去<destination>西乡体育馆</destination>
75,关闭导航,navigation.cancel_navigation,关闭导航
75,导航他她网络,OTHERS,导航他她网络
75,我要看电影,OTHERS,我要看电影
76,打135,phone_call.make_a_phone_call,打<phone_num>135</phone_num>
76,请拨打电话667963,phone_call.make_a_phone_call,请拨打电话<phone_num>667963</phone_num>
76,去上海,navigation.navigation,去<destination>上海</destination>
77,打电话给705139,phone_call.make_a_phone_call,打电话给<phone_num>705139</phone_num>
77,呼叫705139,phone_call.make_a_phone_call,呼叫<phone_num>705139</phone_num>
77,二皇家,OTHERS,二皇家
77,导航资阳的路,navigation.navigation,导航<destination>资阳</destination>的路
78,嗯,OTHERS,嗯
78,花花草的花语苑的雨花园小区,navigation.navigation,花花草的<destination>花语苑的雨花园小区</destination>
78,艺馨,OTHERS,艺馨
78,啊谢谢,OTHERS,啊谢谢
78,赵臣,OTHERS,赵臣
78,谢谢我现在不那个,OTHERS,谢谢我现在不那个
78,谢谢,OTHERS,谢谢
78,打个电话,phone_call.make_a_phone_call,打个电话
78,打电话了,phone_call.make_a_phone_call,打电话了
79,放一个歌曲,music.play,放一个歌曲
79,我想听说散就散,music.play,我想听<song>说散就散</song>
79,我想听经典老歌,music.play,我想听<theme>经典老歌</theme>
79,又不掏钱,OTHERS,又不掏钱
79,庙东较少,OTHERS,庙东较少
80,请呼叫习,phone_call.make_a_phone_call,请呼叫<contact_name>习</contact_name>
80,请呼叫习,phone_call.make_a_phone_call,请呼叫<contact_name>习</contact_name>
80,我要去公司,navigation.navigation,我要去<custom_destination>公司</custom_destination>
81,打电话投诉,phone_call.make_a_phone_call,打电话投诉
81,我要去北京,navigation.navigation,我要去<destination>北京</destination>
81,关闭云导航,navigation.cancel_navigation,关闭云导航
81,退出导航,navigation.cancel_navigation,退出导航
81,我要去南京,navigation.navigation,我要去<destination>南京</destination>
82,海声,OTHERS,海声
82,先锋路海颂园,navigation.navigation,<destination>先锋路海颂园</destination>
82,661,OTHERS,661
82,呼叫661,phone_call.make_a_phone_call,呼叫<phone_num>661</phone_num>
83,放一首说散就散,music.play,放一首<song>说散就散</song>
83,放一首说散就散,music.play,放一首<song>说散就散</song>
83,放一首说散就散,music.play,放一首<song>说散就散</song>
84,呼叫667,phone_call.make_a_phone_call,呼叫<phone_num>667</phone_num>
84,呼叫667455,phone_call.make_a_phone_call,呼叫<phone_num>667455</phone_num>
84,杭州明天天气,OTHERS,杭州明天天气
84,再说,OTHERS,再说
84,关闭,OTHERS,关闭
84,取消导航,navigation.cancel_navigation,取消导航
85,拨打10086,phone_call.make_a_phone_call,拨打<phone_num>10086</phone_num>
85,石头,music.play,<singer>石头</singer>
85,导航去遵义会址,navigation.navigation,导航去<destination>遵义会址</destination>
85,去成都,navigation.navigation,去<destination>成都</destination>
85,关闭导航,navigation.cancel_navigation,关闭导航
85,把导航关闭,navigation.cancel_navigation,把导航关闭
86,这个的可能买单,OTHERS,这个的可能买单
86,老高,OTHERS,老高
86,取消,OTHERS,取消
86,搜索下双胞胎,OTHERS,搜索下双胞胎
86,我想去江信大厦,navigation.navigation,我想去<destination>江信大厦</destination>
86,我要去东城映象c区,navigation.navigation,我要去<destination>东城映象c区</destination>
87,唱一首一壶老酒,music.play,唱一首<song>一壶老酒</song>
87,唱一首花好月圆,music.play,唱一首<song>花好月圆</song>
87,唱一首好日子,music.play,唱一首<song>好日子</song>
88,我要到孝感,navigation.navigation,我要到<destination>孝感</destination>
88,云梦,navigation.navigation,<destination>云梦</destination>
88,呼叫668,phone_call.make_a_phone_call,呼叫<phone_num>668</phone_num>
89,我给你一包打电话了然后我说那个交给谁吞噬着个笑话就行了他同事,OTHERS,我给你一包打电话了然后我说那个交给谁吞噬着个笑话就行了他同事
89,我要去胜腾物流,navigation.navigation,我要去<destination>胜腾物流</destination>
89,换一首音乐,music.next,换一首音乐
89,退出导航,navigation.cancel_navigation,退出导航
90,六哲的歌曲,music.play,<singer>六哲</singer>的歌曲
90,错错错六哲的错错错,music.play,<song>错错错</song><singer>六哲</singer>的<song>错错错</song>
90,郑源的歌曲,music.play,<singer>郑源</singer>的歌曲
91,打电话给766,phone_call.make_a_phone_call,打电话给<phone_num>766</phone_num>
91,打电话给761,phone_call.make_a_phone_call,打电话给<phone_num>761</phone_num>
91,小猪,OTHERS,小猪
91,西西,OTHERS,西西
92,我要到洛阳龙门站,navigation.navigation,我要到<destination>洛阳龙门站</destination>
92,我要到南昌路杜康大厦,navigation.navigation,我要到<destination>南昌路杜康大厦</destination>
92,38383,OTHERS,38383
92,语嫣,OTHERS,语嫣
93,呼叫15200002727,phone_call.make_a_phone_call,呼叫<phone_num>15200002727</phone_num>
93,我想去家和渔村,navigation.navigation,我想去<destination>家和渔村</destination>
93,给我放一首等一分钟,music.play,给我放一首<song>等一分钟</song>
94,导航到书香门第,navigation.navigation,导航到<destination>书香门第</destination>
94,打电话给15900002273,phone_call.make_a_phone_call,打电话给<phone_num>15900002273</phone_num>
94,叮当,OTHERS,叮当
94,关闭导航,navigation.cancel_navigation,关闭导航
94,导航去安徽省亳州市龙扬镇,navigation.navigation,导航去<destination>安徽省亳州市龙扬镇</destination>
95,播放小苹果,music.play,播放<song>小苹果</song>
95,听田亚霍,music.play,听<singer>田亚霍</singer>
95,打开u盘,OTHERS,打开u盘
95,播放dj舞曲,music.play,播放<theme>dj</theme><style>舞曲</style>
96,播放男儿当自强,music.play,播放<song>男儿当自强</song>
96,沧海一声笑,music.play,<song>沧海一声笑</song>
96,沧海一声笑,music.play,<song>沧海一声笑</song>
97,这不是,OTHERS,这不是
97,金地中央世家,navigation.navigation,<destination>金地中央世家</destination>
97,空港工商局,navigation.navigation,<destination>空港工商局</destination>
97,打电话给前方右转进入新桥路,OTHERS,打电话给前方右转进入新桥路
97,你好600米后右转你好叮当,OTHERS,你好600米后右转你好叮当
98,打电话给修车南门,phone_call.make_a_phone_call,打电话给<contact_name>修车南门</contact_name>
98,蓝牙音乐下一曲,music.next,蓝牙音乐下一曲
98,梅毅,OTHERS,梅毅
98,开蓝牙音乐,OTHERS,开蓝牙音乐
98,成都,music.play,<song>成都</song>
99,听话音的歌,music.play,听话音的歌
99,听那英的歌,music.play,听<singer>那英</singer>的歌
99,听迈克杰克逊的歌,music.play,听<singer>迈克杰克逊</singer>的歌
100,好好,OTHERS,好好
100,eula,OTHERS,eula
100,打电话给661160,phone_call.make_a_phone_call,打电话给<phone_num>661160</phone_num>
100,爱爱爱,music.play,<song>爱爱爱</song>
100,锦兴行,navigation.navigation,<destination>锦兴行</destination>
100,刘医院,navigation.navigation,<destination>刘医院</destination>
101,这怎么听出来小胖你好,OTHERS,这怎么听出来小胖你好
101,导航,navigation.open,导航
101,葫芦岛隆泰市场,navigation.navigation,<destination>葫芦岛隆泰市场</destination>
101,音乐,music.play,音乐
101,你好叮当音量减,OTHERS,你好叮当音量减
101,音量减,OTHERS,音量减
102,我要听刀郎的歌,music.play,我要听<singer>刀郎</singer>的歌
102,退出歌曲,music.pause,退出歌曲
102,叮当给我找一下老毕在哪,OTHERS,叮当给我找一下老毕在哪
102,你导航你好,OTHERS,你导航你好
102,谢谢你的服务,music.pause,谢谢你的服务
102,你好停止服务,music.pause,你好停止服务
102,拜拜,music.pause,拜拜
102,是的,OTHERS,是的
102,我要去泰安市泰山区丽景花园西北,navigation.navigation,我要去<destination>泰安市泰山区丽景花园西北</destination>
102,取消导航,navigation.cancel_navigation,取消导航
103,你没带钱没带包你过来干嘛,OTHERS,你没带钱没带包你过来干嘛
103,前言,OTHERS,前言
103,小花仙,OTHERS,小花仙
103,植物大战僵尸,OTHERS,植物大战僵尸
103,打开收音机,OTHERS,打开收音机
103,我要听植物大战僵尸的歌,music.play,我要听植物大战僵尸的歌
103,植物大战僵尸,music.play,植物大战僵尸
